@relation osiptel-reclamos

@attribute TipRecurso numeric
@attribute FechaIngreso_2InstDay numeric
@attribute FechaIngreso_2InstMonth numeric
@attribute FechaIngreso_2InstYear numeric
@attribute FechaResolTRASU_Day numeric
@attribute FechaResolTRASU_Month numeric
@attribute FechaResolTRASU_Year numeric
@attribute Empresa numeric
@attribute Distrito numeric
@attribute Materia numeric
@attribute Submateria numeric
@attribute Servicio numeric
@attribute Sentido {1,2,3,4}

@data
1,24,4,2017,14,11,2017,1,42,15,10,10,4
1,24,4,2017,14,11,2017,1,42,15,14,10,4
1,24,4,2017,14,11,2017,1,42,15,19,10,4
1,26,4,2017,14,11,2017,1,42,15,9,10,4
1,17,5,2017,14,11,2017,16,2,15,9,10,4
0,3,5,2017,9,11,2017,1,5,24,41,10,4
0,5,7,2017,7,11,2017,1,14,24,41,10,4
0,8,3,2017,13,2,2018,1,15,35,65,10,2
1,26,5,2017,9,11,2017,1,2,5,3,10,4
1,10,4,2017,10,11,2017,16,43,15,9,10,4
0,27,4,2017,7,12,2017,16,10,42,65,9,4
0,2,6,2017,7,12,2017,1,18,32,65,10,4
0,25,4,2017,9,11,2017,1,32,24,41,10,4
0,5,6,2017,11,1,2018,1,35,24,41,10,4
0,2,6,2017,19,12,2017,1,32,32,65,10,4
1,21,4,2017,9,11,2017,1,25,15,20,10,4
0,25,4,2017,15,12,2017,12,32,32,65,10,4
0,8,5,2017,16,1,2018,16,40,24,41,9,4
1,14,12,2016,19,12,2017,1,21,15,27,10,4
1,14,12,2016,19,12,2017,1,21,8,17,10,4
0,16,6,2017,19,6,2018,1,9,42,105,10,4
1,13,6,2017,7,12,2017,1,43,15,9,10,4
0,14,6,2017,13,11,2017,12,17,32,65,10,4
1,24,1,2017,14,11,2017,12,17,11,65,10,3
1,25,5,2017,11,12,2017,1,35,8,74,10,4
0,31,3,2017,26,12,2017,1,14,24,41,10,4
1,5,4,2017,14,11,2017,1,17,15,9,10,4
0,31,5,2017,30,11,2017,1,33,24,41,10,4
1,7,2,2017,14,11,2017,16,5,15,9,10,4
0,4,5,2017,18,1,2018,1,32,24,41,10,4
0,15,2,2017,11,12,2017,1,32,42,105,9,4
0,7,6,2017,28,11,2017,1,18,32,65,10,4
1,17,4,2017,13,11,2017,1,13,15,9,10,4
1,2,6,2017,14,11,2017,1,33,15,9,10,4
0,31,5,2017,23,1,2018,16,41,24,41,9,4
0,7,6,2017,14,11,2017,12,9,33,65,10,4
1,28,3,2017,14,11,2017,16,32,15,9,10,4
1,24,3,2017,19,12,2017,16,17,15,9,10,4
1,29,11,2016,7,11,2017,1,15,15,9,10,2
1,22,5,2017,9,11,2017,1,2,15,9,10,4
0,28,6,2017,28,11,2017,16,33,24,41,9,4
0,2,6,2017,28,11,2017,16,41,24,41,9,4
0,10,5,2017,28,11,2017,1,35,24,41,10,4
0,10,4,2017,14,11,2017,12,15,32,65,10,4
1,9,12,2016,15,11,2017,1,9,9,65,10,4
0,24,5,2017,27,2,2018,16,16,24,41,10,4
0,23,6,2017,5,7,2018,16,2,24,41,9,2
0,2,6,2017,20,11,2017,16,21,24,41,10,4
0,5,6,2017,20,11,2017,16,28,24,41,9,4
1,7,3,2017,21,11,2017,16,13,15,9,10,4
0,26,6,2017,15,5,2018,1,9,39,65,10,1
0,5,7,2017,28,11,2017,16,32,24,41,9,4
0,7,7,2017,11,1,2018,16,11,24,41,10,4
1,18,5,2017,20,11,2017,1,32,17,65,10,4
1,23,12,2016,20,11,2017,1,7,15,100,10,4
0,31,5,2017,22,11,2017,1,7,35,65,10,4
0,28,6,2017,14,11,2017,1,43,24,41,10,4
1,3,2,2017,20,11,2017,16,35,15,9,13,4
1,4,1,2017,14,11,2017,16,40,3,65,9,4
1,26,12,2016,30,11,2017,16,40,15,9,9,4
1,27,4,2017,21,11,2017,1,31,15,9,10,4
0,17,5,2017,30,11,2017,12,15,32,65,10,4
0,23,6,2017,9,11,2017,16,32,24,41,9,4
0,23,6,2017,18,1,2018,16,32,24,41,10,4
1,20,12,2016,14,11,2017,1,7,5,3,9,4
1,26,5,2017,20,11,2017,16,36,5,3,10,4
1,31,3,2017,28,11,2017,1,33,15,20,10,4
0,21,6,2017,18,1,2018,1,17,24,41,10,4
0,6,7,2017,19,4,2018,1,33,24,41,10,2
0,16,6,2017,24,11,2017,16,30,24,41,9,4
0,9,5,2017,5,12,2017,12,9,32,65,10,4
1,30,12,2016,21,11,2017,16,17,15,103,10,4
0,15,6,2017,14,11,2017,16,18,24,41,9,4
